year,hires,terminations,net_change,net_change_percentage
2000,220,31,189,85.91
2001,1122,203,919,81.91
2002,1067,174,893,83.69
2003,1142,202,940,82.31
2004,1135,204,931,82.03
2005,1097,191,906,82.59
2006,1118,187,931,83.27
2007,1090,154,936,85.87
2008,1108,147,961,86.73
2009,1140,158,982,86.14
2010,1099,136,963,87.63
2011,1101,121,980,89.01
2012,1103,117,986,89.39
2013,1105,99,1006,91.04
2014,1053,95,958,90.98
2015,1059,85,974,91.97
2016,1122,73,1049,93.49
2017,1091,61,1030,94.41
2018,1147,54,1093,95.29
2019,1083,53,1030,95.11
2020,1012,35,977,96.54
